Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	
719	3	0.6378308534622192	0.8403302032288917	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	3411.json	
743	3#3	0.7437458038330078#0.7167940735816956	0.8570229544972839#0.9047150527796859	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	14.0#13.0	132.4454345703125#132.9956512451172	0#0	0#0	0#0	0#529	0#1	0#2	0#7	0#7	0#739	0#0	0#0	0#0	8120.json	
958	3#3#3	0.4965333938598633#0.28992825746536255#0.28992825746536255	0.7372978786148648#0.7575861202038258#0.7575861202038258	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	1#1#1	19.0#19.0#19.0	130.57513427734375#130.70933532714844#130.70933532714844	0#0#0	0#0#0	0#0#0	0#0#108	0#1#0	0#2#0	0#9#0	0#9#0	0#2#0	0#0#0	0#0#0	0#0#0	3163.json	
1072	3#3#3#3#3	0.7734918594360352#0.7734918594360352#0.7734918594360352#0.7734918594360352#0.7734918594360352	0.9217754094004217#0.9217754094004217#0.9217754094004217#0.9217754094004217#0.9217754094004217	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	3.77#3.77#3.77#3.77#3.77	0#0#0#0#0	0#0#0#0#0	12.0#12.0#12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#17#221#321#361	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#1#0#29#44	0#0#0#0#0	0#1#0#1#0	0#1#0#1#0	1739.json	
1706	3#3#3	0.6887918710708618#0.6887918710708618#0.6887918710708618	0.8369336458609501#0.8369336458609501#0.8369336458609501	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344	0#0#0	1#1#1	0#0#0	0#3#856	0#0#0	0#0#0	0#0#0	0#0#0	0#6#0	0#0#0	0#1#0	0#1#0	9663.json	
1010	3#3	2.880560059566051E-4#2.880560059566051E-4	0.08356690308815114#0.08356690308815114	0#0	0#0	0#0	1#1	3.77#3.77	0#0	2#2	35.0#35.0	126.63631439208984#126.63631439208984	0#0	1#1	0#0	0#160	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	6999.json	
1072	5#5#5#5#5	0.0577765554189682#0.0577765554189682#0.0577765554189682#0.0577765554189682#0.053569819778203964	0.23251295989874118#0.23251295989874118#0.23251295989874118#0.23251295989874118#0.23140087935383585	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	8.76#8.76#8.76#8.76#8.76	0#0#0#0#0	4#4#4#4#4	36.0#36.0#36.0#36.0#36.0	118.21444702148438#118.21444702148438#118.21444702148438#118.21444702148438#118.21444702148438	0#0#0#0#0	1#1#1#1#1	1#1#1#1#1	0#17#54#221#576	0#0#0#0#5	0#0#0#0#10	0#0#0#0#5	0#0#0#0#0	0#1#0#0#0	0#0#0#0#0	0#1#0#0#0	0#1#0#0#0	2025.json	
2275	3#3#3#3	0.2661389708518982#0.2661389708518982#0.2661389708518982#0.2509506344795227	0.5793463248502176#0.5793463248502176#0.5793463248502176#0.6283210133736468	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.77#3.77#3.77#3.77	0#0#0#0	1#1#1#1	21.0#21.0#21.0#20.0	129.7158966064453#129.7158966064453#129.7158966064453#130.07347106933594	0#0#0#0	0#0#0#0	0#0#0#0	0#86#1424#2061	0#0#0#1	0#0#0#2	0#0#0#7	0#0#0#7	0#4#0#739	0#0#0#0	0#1#0#0	0#1#0#0	9177.json	
801	3#3#3	0.7549771666526794#0.506495475769043#0.47767677903175354	0.892368609420684#0.8754016841773966#0.8815014394715976	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125	0#0#0	0#0#0	0#0#0	0#7#7	0#2#2	0#4#4	0#15#3	0#15#3	0#4#2	0#0#0	0#0#0	0#0#0	2109.json	
1706	3#3#3	0.4988137483596802#0.4988137483596802#0.4988137483596802	0.47926358963318094#0.47926358963318094#0.47926358963318094	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	1#1#1	24.0#24.0#24.0	128.92515563964844#128.92515563964844#128.92515563964844	0#0#0	1#1#1	0#0#0	0#3#856	0#0#0	0#0#0	0#0#0	0#0#0	0#6#0	0#0#0	0#1#0	0#1#0	9422.json	
122	8	7.250816561281681E-4	3.388885383181262E-5	1	1	2	2	4.8	1	11	86.0	104.92857360839844	0	2	2	0	0	0	0	0	0	0	0	0	805.json	
837	3	0.5221227407455444	0.7900295613346333	0	0	0	1	3.77	0	2	16.0	131.75106811523438	0	0	0	0	0	0	0	0	0	0	0	0	6365.json	
2139	6#6#6#6#3	0.016654925420880318#0.016654925420880318#0.016654925420880318#0.016654925420880318#0.260139524936676	0.3721175582732498#0.3721175582732498#0.3721175582732498#0.3721175582732498#0.7828225149748287	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	8.0#8.0#8.0#8.0#3.77	0#0#0#0#0	1#1#1#1#0	36.0#36.0#36.0#36.0#19.0	115.4139404296875#115.4139404296875#115.4139404296875#115.4139404296875#130.85745239257812	0#0#0#0#0	0#0#0#0#0	1#1#1#1#0	0#476#574#1289#2117	0#0#0#0#1	0#0#0#0#5	0#0#0#0#152	0#0#0#0#152	0#27#2#0#417	0#0#0#0#0	0#0#1#0#0	0#0#1#0#0	8770.json	
2048	9#3#3	0.28633227944374084#0.26620152592658997#0.26620152592658997	0.0719076121227132#0.561223926225821#0.561223926225821	1#0#0	1#0#0	2#0#0	2#1#1	12.51#3.77#3.77	0#0#0	3#2#2	53.0#21.0#21.0	106.25163269042969#129.93223571777344#129.93223571777344	0#0#0	0#0#0	2#0#0	0#0#1198	0#1#0	0#8#0	0#142#0	0#127#0	0#3#0	0#0#0	0#0#0	0#0#0	4498.json	
12	3#3	0.19035083055496216#0.19035083055496216	0.7003772838830707#0.7003772838830707	0#0	0#0	0#0	1#1	3.77#3.77	0#0	1#1	20.0#20.0	130.07347106933594#130.07347106933594	0#0	0#0	0#0	0#2	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	11396.json	
2278	12#16#16#20#22#23#23#22#23#22#22#22#22#22#23#23#23#23#30#29#27	0.0010126892011612654#1.4019676018506289E-4#1.4384191308636218E-4#0.0#2.4063332239165902E-4#1.141964748967439E-4#1.1423108662711456E-4#1.403230708092451E-4#1.1421375529607758E-4#1.5608365356456488E-4#1.0162948456127197E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	0.0026623325689478974#1.266027523704941E-4#9.163366997593666E-5#1.1328440563011649E-5#2.9072637048558916E-5#9.152183410790807E-6#9.112220922501164E-6#1.036636965786473E-5#9.126544613084148E-6#1.734545943942318E-5#6.202054694614059E-6#3.7374959144573398E-6#3.7377433880279344E-6#1.5506100388195815E-6#5.6941100028823245E-6#5.6941100028823245E-6#5.6941100028823245E-6#5.776137790371567E-6#1.0444251734380678E-7#8.651358328356511E-7#7.824629014429066E-7	4#5#5#6#6#6#6#6#6#6#6#6#6#6#6#6#6#6#7#7#7	5#6#6#7#6#7#7#7#7#7#7#7#7#7#7#7#7#7#10#8#8	9#11#11#13#12#13#13#13#13#13#13#13#13#13#13#13#13#13#17#15#15	4#5#5#6#6#6#6#6#6#6#6#6#6#6#6#6#6#6#9#9#9	12.58#11.96#11.96#10.91#12.23#12.23#12.23#11.73#12.23#11.73#11.73#11.73#11.73#11.73#15.0#15.0#15.0#15.0#10.24#9.77#9.02	3#3#3#3#2#2#2#2#2#2#2#2#2#2#2#2#2#2#4#4#4	10#12#12#13#11#12#12#11#12#11#12#11#11#12#11#11#11#11#15#13#13	79.0#102.0#103.0#122.0#122.0#130.0#130.0#127.0#130.0#126.0#130.0#132.0#132.0#135.0#132.0#132.0#132.0#132.0#169.0#156.0#153.0	98.99568176269531#92.46916198730469#92.37422180175781#87.5257568359375#86.0213394165039#84.93134307861328#84.93134307861328#85.77287292480469#84.93134307861328#85.89462280273438#85.6514663696289#85.53380584716797#85.53380584716797#85.3441390991211#84.81369018554688#84.81369018554688#84.81369018554688#84.81369018554688#78.46158599853516#79.46282196044922#80.75843048095703	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#15#20#29#71#71#89#508#523#770#810#867#873#1044#1044#1427#1465#1469#1775#1789#2075	0#15#1#4#6#2#1#1#1#1#2#1#1#2#4#0#0#2#15#3#1	0#26#2#4#10#3#2#3#2#2#4#2#2#4#7#0#0#4#23#7#2	0#137#7#136#197#38#12#41#42#63#19#25#1#78#89#0#0#22#261#155#17	0#130#7#162#196#33#12#34#35#44#19#25#1#76#66#0#0#22#329#174#5	0#3#1#1#1#1#7#4#1#17#7#2#3#1#1#0#3#3#4#6#87	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#1#1#1#1#0#0#0#1#0#0#1#1#0#0#0#0#0#0	0#0#0#1#1#1#1#0#0#0#1#0#0#1#1#0#0#0#0#0#0	3272.json	
330	26#24#13#13#13#13#14#16#16	0.001029151608236134#0.0032090176828205585#0.013943408615887165#0.00599370151758194#0.005808367393910885#0.0012884510215371847#0.008355739526450634#0.002609207294881344#9.109152015298605E-4	4.219899322197915E-9#1.3214290198600083E-7#2.5809786468242206E-4#5.649374424497516E-5#7.619883726285179E-5#1.02558795200093E-5#2.5500761251826284E-6#5.634359651078663E-7#9.068724697757817E-8	10#10#6#6#6#6#6#6#6	9#9#5#5#5#5#5#5#5	19#19#11#11#11#11#11#11#11	6#6#4#4#4#4#4#4#4	9.59#8.22#4.92#4.92#4.92#4.92#4.75#6.0#6.0	2#2#1#1#1#1#1#1#1	13#13#9#9#9#11#9#10#12	165.0#145.0#87.0#97.0#96.0#106.0#114.0#124.0#134.0	81.21208953857422#83.28448486328125#96.76223754882812#96.19645690917969#96.29138946533203#95.69546508789062#94.0054931640625#91.27240753173828#90.86910247802734	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#2#3#3	4#3#1#1#1#1#2#2#2	0#2#37#97#116#206#242#250#270	0#2#2#6#1#2#8#4#2	0#6#15#12#2#4#15#6#4	0#138#399#101#7#66#247#71#40	0#137#418#100#7#66#259#62#40	0#3#60#23#739#22#26#10#5	0#0#0#0#0#0#1#0#0	0#0#0#0#0#0#1#0#1	0#0#0#0#0#0#1#0#1	7053.json	
22	20	0.0	6.852441470204899E-9	0	0	0	2	5.12	1	21	166.0	86.84432983398438	0	3	2	0	0	0	0	0	0	0	0	0	12914.json	
1849	3#3#3#3#3	0.6555201411247253#0.6555201411247253#0.424487441778183#0.6555201411247253#0.6555201411247253	0.8272424816555147#0.8272424816555147#0.7373860366633385#0.8272424816555147#0.8272424816555147	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	3.77#3.77#3.77#3.77#3.77	0#0#0#0#0	0#0#0#0#0	17.0#17.0#19.0#17.0#17.0	131.28770446777344#131.28770446777344#130.57513427734375#131.28770446777344#131.28770446777344	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#836#836#836#998	0#0#1#1#0	0#0#2#2#0	0#0#9#9#0	0#0#9#9#0	0#11#5#5#0	0#0#0#0#0	0#1#1#0#0	0#1#1#0#0	4961.json	
1010	5#6#6#5	0.0031079542823135853#0.01903298869729042#0.02881012111902237#0.022555768489837646	0.029532568408407595#0.10777322056974625#0.17426035765416023#0.12292346222275048	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	9.33#14.17#14.17#9.33	0#0#0#0	6#5#4#4	46.0#41.0#38.0#38.0	116.68047332763672#114.44808959960938#114.90958404541016#117.86318969726562	0#0#0#0	3#3#3#3	0#0#0#0	0#12#158#160	0#3#1#0	0#5#2#0	0#66#11#17	0#55#11#0	0#39#3#0	0#0#0#0	0#0#0#0	0#0#0#0	7117.json	
1544	3#3#3	0.20061810314655304#0.1763099730014801#0.1763099730014801	0.805618575192556#0.7980114378511884#0.7980114378511884	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	1#1#1	15.0#15.0#15.0	132.086669921875#132.086669921875#132.086669921875	0#0#0	0#0#0	0#0#0	0#64#693	0#1#0	0#2#0	0#9#0	0#9#0	0#19#0	0#0#0	0#1#0	0#1#0	4445.json	
22	3	0.2233232706785202	0.5682031877080458	0	0	0	1	3.77	0	0	23.0	129.4591827392578	0	2	0	0	0	0	0	0	0	0	0	0	13056.json	
10	3#3	0.5320788621902466#0.5320788621902466	0.2288501910857281#0.2288501910857281	1#1	1#1	2#2	2#2	3.77#3.77	0#0	1#1	29.0#29.0	127.45843505859375#127.45843505859375	0#0	1#1	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	11164.json	
496	4	0.2830387055873871	0.6696833105248732	0	0	0	1	9.8	0	1	20.0	125.41301727294922	0	0	0	0	0	0	0	0	0	0	0	0	3763.json	
2474	3#3#3#3#3#3#3#3#3#3	0.3573477268218994#0.3573477268218994#0.3573477268218994#0.3573477268218994#0.3573477268218994#0.3573477268218994#0.3573477268218994#0.3573477268218994#0.3573477268218994#0.3573477268218994	0.7897063422215749#0.7897063422215749#0.7897063422215749#0.7897063422215749#0.7897063422215749#0.7897063422215749#0.7897063422215749#0.7897063422215749#0.7897063422215749#0.7897063422215749	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0	0#75#75#75#75#93#93#93#1100#1624	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#1#39#0#50#74#0#34#2#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#1#1#0#0	4972.json	
1395	6#5#5#5	0.006202173884958029#0.001783835468813777#0.001783835468813777#0.0017488717567175627	0.1453836904782534#0.05138676562585193#0.05138676562585193#0.050517985757591526	0#1#1#1	0#1#1#1	0#2#2#2	2#2#2#2	6.53#5.99#5.99#5.99	1#0#0#0	1#1#1#1	40.0#45.0#45.0#45.0	114.28350830078125#116.68762969970703#116.68762969970703#116.68762969970703	0#0#0#0	3#3#3#3	1#0#0#0	0#19#545#841	0#2#0#1	0#5#0#2	0#62#0#13	0#63#0#13	0#4#0#294	0#0#0#0	0#1#0#1	0#1#0#1	6447.json	
353	3	0.27144941687583923	0.8378186693923252	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	3072.json	
975	3#3#3	0.6214969754219055#0.5638951063156128#0.5638951063156128	0.8016081114185427#0.8262866138364648#0.8262866138364648	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344	0#0#0	1#1#1	0#0#0	0#0#125	0#1#0	0#2#0	0#5#0	0#5#0	0#7#0	0#0#0	0#0#0	0#0#0	2797.json	
1363	3#3#3	0.27105090022087097#0.27105090022087097#0.27105090022087097	0.8493214321379801#0.8493214321379801#0.8493214321379801	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125	0#0#0	0#0#0	0#0#0	0#309#513	0#0#0	0#0#0	0#0#0	0#0#0	0#1#0	0#0#0	0#1#0	0#1#0	1909.json	
1620	3#3	0.5333060026168823#0.5333060026168823	0.915978101222379#0.915978101222379	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	13.0#13.0	132.9956512451172#132.9956512451172	0#0	0#0	0#0	0#770	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	5211.json	
1010	3#3	0.4495369493961334#0.4495369493961334	0.7625777955534998#0.7625777955534998	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	17.0#17.0	131.03103637695312#131.03103637695312	0#0	0#0	0#0	0#160	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	7121.json	
872	5#5#5#5#5#5	0.055987995117902756#0.055987995117902756#0.055987995117902756#0.055538345128297806#0.055538345128297806#0.055538345128297806	0.06517064220575307#0.06517064220575307#0.06517064220575307#0.06272083352865203#0.06272083352865203#0.06272083352865203	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	9.33#9.33#9.33#9.33#9.33#9.33	0#0#0#0#0#0	4#4#4#4#4#4	41.0#41.0#41.0#41.0#41.0#41.0	117.3387222290039#117.3387222290039#117.3387222290039#117.3387222290039#117.3387222290039#117.3387222290039	0#0#0#0#0#0	2#2#2#2#2#2	0#0#0#0#0#0	0#22#119#129#399#400	0#0#0#3#0#0	0#0#0#6#0#0	0#0#0#60#0#0	0#0#0#60#0#0	0#0#16#27#0#0	0#0#0#0#0#0	0#0#0#1#0#0	0#0#0#1#0#0	4080.json	
1983	3#3#3	0.47433748841285706#0.47433748841285706#0.47433748841285706	0.8240894043286142#0.8240894043286142#0.8240894043286142	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	1#1#1	17.0#17.0#17.0	131.43582153320312#131.43582153320312#131.43582153320312	0#0#0	0#0#0	0#0#0	0#609#1133	0#0#0	0#0#0	0#0#0	0#0#0	0#2#0	0#0#0	0#0#0	0#0#0	5231.json	
1826	3#3	0.3271704912185669#0.3271704912185669	0.837574177465043#0.837574177465043	0#0	0#0	0#0	1#1	3.77#3.77	0#0	1#1	19.0#19.0	130.70933532714844#130.70933532714844	0#0	1#1	0#0	0#975	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	10569.json	
2018	3#3#3#3	0.630135178565979#0.630135178565979#0.630135178565979#0.630135178565979	0.8870742087146903#0.8870742087146903#0.8870742087146903#0.8870742087146903	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.77#3.77#3.77#3.77	0#0#0#0	0#0#0#0	14.0#14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125	0#0#0#0	0#0#0#0	0#0#0#0	0#55#962#1168	0#3#0#0	0#3#0#0	0#0#0#0	0#0#0#0	0#35#90#0	0#0#0#0	0#1#1#0	0#1#1#0	5436.json	
1917	9#9	0.06691188365221024#0.06691188365221024	0.007368903461587498#0.007368903461587498	1#1	1#1	2#2	2#2	5.9#5.9	1#1	4#4	61.0#61.0	105.06659698486328#105.06659698486328	0#0	1#1	2#2	0#1067	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	10531.json	
1550	6#6#6#6#13#13#14#12	0.010342108085751534#9.30911221075803E-4#9.30911221075803E-4#9.30911221075803E-4#3.3095854450948536E-4#2.4793524062260985E-4#2.8496579034253955E-4#0.001513596624135971	0.023423562760653258#0.005999866329319284#0.005999866329319284#0.005999866329319284#8.419843207054444E-6#5.056602469728059E-6#7.900310694177627E-6#4.4290318074607633E-4	0#0#0#0#1#1#1#1	0#0#0#0#1#1#1#1	0#0#0#0#2#2#2#2	2#2#2#2#3#3#3#2	5.5#5.5#5.5#5.5#6.15#6.15#7.05#7.39	1#1#1#1#1#1#1#1	4#5#5#5#13#14#14#11	49.0#56.0#56.0#56.0#104.0#107.0#107.0#84.0	113.05679321289062#112.26044464111328#112.26044464111328#112.26044464111328#95.81248474121094#95.66460418701172#94.46405792236328#98.66179656982422	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	2#2#2#2#3#3#3#2	0#72#495#699#803#804#826#881	0#2#0#0#7#1#7#1	0#4#0#0#7#2#14#4	0#54#0#0#385#24#26#105	0#54#0#0#389#24#8#110	0#1#1#0#14#1#4#28	0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#0	0#0#1#0#0#0#0#0	1752.json	
824	3	0.6878592371940613	0.8980836389531515	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	2214.json	
880	3#3#3	0.5965231657028198#0.5965231657028198#0.5965231657028198	0.8527815697533372#0.8527815697533372#0.8527815697533372	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	15.0#15.0#15.0	131.9385528564453#131.9385528564453#131.9385528564453	0#0#0	0#0#0	0#0#0	0#8#30	0#0#0	0#0#0	0#0#0	0#0#0	0#62#0	0#0#0	0#1#0	0#1#0	8204.json	
22	27	0.002928187372162938	3.034698876493442E-9	1	1	2	2	15.91	5	21	171.0	81.26334381103516	0	1	2	0	0	0	0	0	0	0	0	0	12994.json	
2474	15#15#15#15#16#16#16#16#16#16#16#16	0.03465217724442482#0.033524833619594574#0.033524833619594574#0.033524833619594574#0.07274138182401657#0.07274138182401657#0.07274138182401657#0.07274138182401657#0.07274138182401657#0.07274138182401657#0.07180463522672653#0.027819981798529625	0.04406419713658013#0.043578517973737144#0.043578517973737144#0.043578517973737144#0.09337859847258433#0.09337859847258433#0.09337859847258433#0.09337859847258433#0.09163593685582361#0.09163593685582361#0.11639922915501838#0.0509990636866489	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	3#3#3#3#3#3#3#3#3#3#3#3	12.67#12.67#12.67#12.67#12.94#12.94#12.94#12.94#12.94#12.94#12.94#12.94	3#3#3#3#3#3#3#3#3#3#3#3	2#2#2#2#2#2#2#2#2#2#2#2	66.0#66.0#66.0#66.0#66.0#66.0#66.0#66.0#66.0#66.0#65.0#69.0	96.2843017578125#96.2843017578125#96.2843017578125#96.2843017578125#95.23877716064453#95.23877716064453#95.23877716064453#95.23877716064453#95.23877716064453#95.23877716064453#95.36602783203125#94.96166229248047	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1#1#1#1	0#0#75#75#75#75#75#93#940#1624#1689#2465	0#1#0#0#2#0#0#0#2#0#1#1	0#2#0#0#3#0#0#0#4#0#2#2	0#3#0#0#47#0#0#0#2#0#6#52	0#3#0#0#1#0#0#0#2#0#6#52	0#14#1#39#56#0#50#74#9#0#23#7	0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0#0#0#0#0	8657.json	
1012	4#4#4	0.614190936088562#0.614190936088562#0.614190936088562	0.12965627223185142#0.12965627223185142#0.12965627223185142	0#0#0	0#0#0	0#0#0	1#1#1	4.0#4.0#4.0	0#0#0	4#4#4	36.0#36.0#36.0	121.69290161132812#121.69290161132812#121.69290161132812	0#0#0	1#1#1	1#1#1	0#0#162	0#0#0	0#0#0	0#0#0	0#0#0	0#5#0	0#0#0	0#0#0	0#0#0	4963.json	
870	3#3#3	0.6377376914024353#0.6377376914024353#0.37925273180007935	0.7011103831707012#0.7011103831707012#0.6045780065113477	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	1#1#1	18.0#18.0#20.0	130.85629272460938#130.85629272460938#130.07347106933594	0#0#0	0#0#0	0#0#0	0#20#71	0#0#1	0#0#2	0#0#6	0#0#6	0#0#53	0#0#0	0#0#1	0#0#1	3623.json	
22	3	0.6356903314590454	0.8265188045016405	0	0	0	1	3.77	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	13131.json	
22	3	0.5895041227340698	0.8376359146141933	0	0	0	1	3.77	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	13005.json	
1104	33#33#33#33#34	0.0010257790563628078#0.0019510018173605204#0.0019510018173605204#0.002214800799265504#0.0013000416802242398	1.3766031561823891E-14#3.7983788571852596E-14#3.7983788571852596E-14#1.0680586185543547E-13#4.1243883556658724E-14	5#5#5#5#5	6#6#6#6#6	11#11#11#11#11	8#8#8#8#8	8.75#8.75#8.75#8.75#9.13	3#3#3#3#3	13#13#13#12#12	235.0#229.0#229.0#223.0#229.0	74.80958557128906#74.92472076416016#74.92472076416016#75.0438003540039#74.40348815917969	0#0#0#0#0	2#2#2#2#2	10#10#10#10#10	0#42#253#395#608	0#2#0#1#1	0#4#0#2#1	0#12#0#32#27	0#12#0#32#38	0#314#0#71#13	0#0#0#0#0	0#0#0#1#0	0#0#0#1#0	2907.json	
1901	6#4#4#4	0.008070556446909904#0.006607423536479473#0.006607423536479473#0.006607423536479473	0.34546974732205166#0.16244899568249324#0.16244899568249324#0.16244899568249324	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	8.54#4.0#4.0#4.0	0#0#0#0	3#3#3#3	35.0#35.0#35.0#35.0	115.56043243408203#122.05010986328125#122.05010986328125#122.05010986328125	0#0#0#0	1#1#1#1	0#0#0#0	0#15#845#1050	0#3#0#0	0#8#0#0	0#89#0#0	0#80#0#0	0#13#90#0	0#0#0#0	0#1#1#0	0#1#1#0	5857.json	
12	3#3	0.8802973628044128#0.8802973628044128	0.857037686554221#0.857037686554221	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	14.0#14.0	132.4454345703125#132.4454345703125	0#0	0#0	0#0	0#2	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	11421.json	
1706	8#8#11#11#11	0.09501363337039948#0.09501363337039948#0.1106717586517334#0.10951506346464157#0.10951506346464157	0.27476171992533516#0.27476171992533516#0.1689765593867226#0.1720683458071256#0.1720683458071256	2#2#4#4#4	2#2#3#3#3	4#4#7#7#7	3#3#4#4#4	5.66#5.66#7.05#7.05#7.05	1#1#2#2#2	1#1#3#3#3	41.0#41.0#51.0#51.0#51.0	109.53836059570312#109.53836059570312#102.8701400756836#102.8701400756836#102.8701400756836	0#0#0#0#0	2#2#2#2#2	0#0#0#0#0	0#3#382#385#856	0#0#3#1#0	0#0#3#2#0	0#0#65#10#0	0#0#83#10#0	0#6#5#3#0	0#0#1#0#0	0#1#1#0#0	0#1#0#0#0	9392.json	
1104	3#3	0.006628616712987423#0.006628616712987423	0.44516598896566584#0.44516598896566584	0#0	0#0	0#0	1#1	3.77#3.77	0#0	1#1	26.0#26.0	128.60531616210938#128.60531616210938	0#0	2#2	0#0	0#253	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	814.json	
607	3	0.15053078532218933	0.6859963488447905	0	0	0	1	3.77	0	1	19.0	130.57513427734375	0	1	0	0	0	0	0	0	0	0	0	0	4916.json	
