Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	
912	3#3#3	0.832367479801178#0.832367479801178#0.832367479801178	0.8663824234275586#0.8663824234275586#0.8663824234275586	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125	0#0#0	0#0#0	0#0#0	0#40#62	0#0#0	0#0#0	0#0#0	0#0#0	0#62#0	0#0#0	0#1#0	0#1#0	7955.json	
855	3#3	0.09093175083398819#0.09093175083398819	0.8798839441277696#0.8798839441277696	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	15.0#15.0	132.43687438964844#132.43687438964844	0#0	0#0	0#0	0#5	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	3291.json	
838	4	0.021594198420643806	0.3234406000951024	0	0	0	1	4.0	0	1	30.0	122.7774429321289	0	1	0	0	0	0	0	0	0	0	0	0	2035.json	
624	3	0.7570217847824097	0.7785620486510847	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	3839.json	
496	3	0.49101150035858154	0.7608587975837227	0	0	0	1	3.77	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	3752.json	
715	3	0.7896509170532227	0.8720214307068522	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	3666.json	
888	3#3#3#3#3#3#3#3	0.18469607830047607#0.18469607830047607#0.18469607830047607#0.18469607830047607#0.19127291440963745#0.19127291440963745#0.23019126057624817#0.20486624538898468	0.8254854112829778#0.8254854112829778#0.8254854112829778#0.8254854112829778#0.8710080017643754#0.8710080017643754#0.8378102788738345#0.8287028412413221	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	14.0#14.0#14.0#14.0#14.0#14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#2#2#16#16#38#80#145	0#0#0#0#2#0#2#1	0#0#0#0#4#0#4#2	0#0#0#0#40#0#40#1	0#0#0#0#40#0#40#1	0#28#2#62#4#0#79#184	0#0#0#0#0#0#0#0	0#0#0#1#0#0#1#1	0#0#0#1#0#0#1#1	7833.json	
2474	7#11#11#23#23#23#23#13#13#13#13#13#13#15#15#16#16#5#7#7#5	0.0023263951297849417#0.0034335090313106775#0.0034335090313106775#3.2634372473694384E-4#3.2634372473694384E-4#3.2634372473694384E-4#3.2634372473694384E-4#0.008788466453552246#0.008788466453552246#0.008788466453552246#0.008788466453552246#0.008788466453552246#0.008788466453552246#0.006509432569146156#0.0036568862851709127#0.003726914059370756#0.003687299322336912#0.023077072575688362#0.05566665530204773#0.05160512775182724#0.017409352585673332	4.3444411798835734E-4#2.9632750059581197E-4#2.9632750059581197E-4#4.409929330293237E-8#4.409929330293237E-8#4.409929330293237E-8#4.409929330293237E-8#1.3930240698989318E-4#1.3930240698989318E-4#1.3930240698989318E-4#1.3930240698989318E-4#1.3930240698989318E-4#1.3930240698989318E-4#3.607850313131979E-6#1.7249881223812348E-6#1.5834931985242036E-6#1.5809369746119132E-6#0.3065306287004252#0.20289158910619157#0.19916407927548613#0.06545068486627176	0#0#0#3#3#3#3#2#2#2#2#2#2#4#4#4#4#0#0#0#0	0#0#0#2#2#2#2#1#1#1#1#1#1#2#2#2#2#0#0#0#0	0#0#0#5#5#5#5#3#3#3#3#3#3#6#6#6#6#0#0#0#0	1#2#2#4#4#4#4#3#3#3#3#3#3#4#4#4#4#1#1#1#1	9.28#12.21#12.21#14.02#14.02#14.02#14.02#10.48#10.48#10.48#10.48#10.48#10.48#10.72#10.72#11.12#11.12#9.33#13.33#13.33#8.76	0#1#1#3#3#3#3#2#2#2#2#2#2#2#2#2#2#0#0#0#0	7#8#8#14#14#14#14#7#7#7#7#7#7#9#10#10#10#3#3#3#3	72.0#80.0#80.0#145.0#145.0#145.0#145.0#88.0#88.0#88.0#88.0#88.0#88.0#108.0#113.0#115.0#115.0#33.0#40.0#40.0#41.0	108.46472930908203#100.14568328857422#100.14568328857422#84.23571014404297#84.23571014404297#84.23571014404297#84.23571014404297#96.68116760253906#96.68116760253906#96.68116760253906#96.68116760253906#96.68116760253906#96.68116760253906#92.91809844970703#92.6827621459961#91.51838684082031#91.51838684082031#118.90401458740234#112.14561462402344#112.14561462402344#117.40169525146484	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#1	2#3#3#6#6#6#6#4#4#4#4#4#4#5#5#5#5#0#1#1#1	0#7#7#28#75#75#75#75#75#75#93#93#93#279#1021#1384#1624#1759#2157#2196#2340	0#10#0#14#0#0#0#1#0#0#0#0#0#3#1#2#0#2#4#7#4	0#16#0#16#0#0#0#12#0#0#0#0#0#4#2#3#0#15#6#14#8	0#90#0#513#0#0#0#503#0#0#0#0#0#118#39#74#14#447#162#7#233	0#69#0#553#0#0#0#521#0#0#0#0#0#116#25#53#0#453#151#0#228	0#7#0#3#1#39#1#5#0#50#74#0#34#4#3#4#0#34#14#0#38	0#1#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0	0#1#0#1#0#0#0#0#0#0#0#1#1#0#0#0#0#1#0#0#0	7228.json	
2417	15#15#15#15#15#15#20#20#20#10#10#4#4	0.021222911775112152#0.021222911775112152#0.021222911775112152#0.021222911775112152#0.021222911775112152#0.021222911775112152#0.049501191824674606#0.049501191824674606#0.049501191824674606#0.0864439532160759#0.09663182497024536#0.16111403703689575#0.16111403703689575	5.169462364447755E-4#5.169462364447755E-4#5.169462364447755E-4#5.169462364447755E-4#5.169462364447755E-4#5.169462364447755E-4#2.6429768893919577E-4#2.6429768893919577E-4#2.6429768893919577E-4#0.2595364611045211#0.14724676594068187#0.3791930584276714#0.3791930584276714	4#4#4#4#4#4#2#2#2#0#0#0#0	3#3#3#3#3#3#1#1#1#0#0#0#0	7#7#7#7#7#7#3#3#3#0#0#0#0	4#4#4#4#4#4#3#3#3#1#1#1#1	7.62#7.62#7.62#7.62#7.62#7.62#10.09#10.09#10.09#13.48#13.48#6.63#6.63	2#2#2#2#2#2#3#3#3#1#1#0#0	9#9#9#9#9#9#7#7#7#1#2#1#1	88.0#88.0#88.0#88.0#88.0#88.0#99.0#99.0#99.0#44.0#47.0#27.0#27.0	94.42561340332031#94.42561340332031#94.42561340332031#94.42561340332031#94.42561340332031#94.42561340332031#89.02753448486328#89.02753448486328#89.02753448486328#105.80550384521484#105.2825927734375#123.56243133544922#123.56243133544922	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#2#2#2#2#2#2#2	2#2#2#2#2#2#4#4#4#0#0#0#0	0#18#18#18#18#36#38#40#43#210#1258#1496#1567	0#0#0#0#0#0#15#0#0#7#3#1#0	0#0#0#0#0#0#25#0#0#24#6#8#0	0#0#0#0#0#0#415#0#0#365#34#132#0	0#0#0#0#0#0#446#0#0#422#34#144#0	0#1#39#0#50#74#44#0#0#9#23#62#0	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1#0#1#0#0#0	0#0#0#0#0#0#1#1#0#1#0#0#0	10113.json	
1549	7#11#11#8#22#24#24#5#16#16#17#17#17#16#18#17#17	0.027894094586372375#0.25380629301071167#0.2719641625881195#0.15372197329998016#0.5225545167922974#0.15889345109462738#0.15903763473033905#0.03140760958194733#0.02331574447453022#0.023068206384778023#0.018866466358304024#0.018866466358304024#0.017138127237558365#0.018338855355978012#0.00818793848156929#0.02715367078781128#0.028346527367830276	0.03816307588528529#0.10879818467640166#0.10801161194623872#0.7109016615929649#0.21273585637670714#0.04095702575973558#0.04093496090725057#0.6388941999408749#0.10156095481394546#0.10187172841352982#0.04850104555944438#0.04850104555944438#0.0485870504806483#0.0679723428658352#0.003931287143758227#0.020197124377485776#0.010829155641913385	0#0#0#1#0#0#0#1#2#2#3#3#3#3#4#4#5	0#0#0#2#0#0#0#1#4#4#5#5#5#5#6#6#7	0#0#0#3#0#0#0#2#6#6#8#8#8#8#10#10#12	1#2#2#3#3#3#3#2#5#5#5#5#5#4#5#4#4	3.61#5.83#5.83#5.66#11.3#11.24#11.24#5.99#7.75#7.75#7.87#7.87#7.87#8.11#8.63#8.18#8.18	0#1#1#2#3#3#3#1#2#2#2#2#2#2#2#2#2	5#5#5#2#5#7#7#2#5#5#6#6#6#6#8#7#8	51.0#59.0#59.0#32.0#87.0#101.0#101.0#25.0#63.0#63.0#69.0#69.0#69.0#65.0#82.0#70.0#73.0	110.88229370117188#102.32613372802734#102.32613372802734#111.1761474609375#88.55313873291016#86.2840347290039#86.2840347290039#120.20751190185547#94.97471618652344#94.97471618652344#93.43276977539062#93.43276977539062#93.43276977539062#94.99799346923828#91.38279724121094#93.46903228759766#93.21382141113281	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	1#1#1#0#1#1#1#0#0#0#0#0#0#0#0#0#0	0#40#76#76#151#229#234#629#629#636#689#698#795#845#1034#1034#1170	0#12#1#5#26#2#1#2#14#1#3#0#1#3#5#4#1	0#17#2#16#31#2#2#30#17#2#5#0#2#7#8#9#2	0#241#15#402#571#95#1#681#300#1#40#0#17#13#101#79#24	0#65#15#245#498#117#1#624#341#1#36#0#17#28#113#91#24	0#2#2#3#2#9#2#2#2#1#1#0#8#12#2#2#2	0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#1#1#0#0#0#0#0#0#0#0#1#0#0#0#0	0#0#1#0#0#0#0#0#0#0#0#0#1#0#0#0#0	2934.json	
